class,precision,recall,f1
bos,1.0000,1.0000,1.0000
cac,0.9500,0.9500,0.9500
cha,0.8500,0.8500,0.8500
die,0.9474,0.9000,0.9231
fic,0.8421,0.8000,0.8205
lad,0.9444,0.8500,0.8947
mon,0.9524,0.9524,0.9524
oli,0.9474,0.9000,0.9231
pha,0.9524,1.0000,0.9756
sch,0.9048,0.9500,0.9268
spa,0.9091,1.0000,0.9524
stk,0.8696,1.0000,0.9302
zz,0.9444,0.8500,0.8947
