class,precision,recall,f1
bos,1.0000,0.9500,0.9744
cac,0.9500,0.9500,0.9500
cha,0.8261,0.9500,0.8837
die,1.0000,0.9500,0.9744
fic,0.9500,0.9500,0.9500
lad,0.9000,0.9000,0.9000
mon,1.0000,1.0000,1.0000
oli,1.0000,1.0000,1.0000
pha,0.9048,0.9500,0.9268
sch,1.0000,0.8500,0.9189
spa,1.0000,1.0000,1.0000
stk,0.9524,1.0000,0.9756
zz,0.9500,0.9500,0.9500
