class,precision,recall,f1
bos,0.9444,0.8500,0.8947
cac,1.0000,0.1500,0.2609
cha,0.2985,1.0000,0.4598
die,0.6957,0.8000,0.7442
fic,1.0000,0.1000,0.1818
lad,1.0000,0.0500,0.0952
mon,0.3125,0.9524,0.4706
oli,1.0000,0.1000,0.1818
pha,0.5263,1.0000,0.6897
sch,0.0000,0.0000,0.0000
spa,0.7692,0.5000,0.6061
stk,0.8182,0.9000,0.8571
zz,0.8750,0.3500,0.5000
