class,precision,recall,f1
bos,0.9524,1.0000,0.9756
cac,1.0000,0.9000,0.9474
cha,0.8095,0.8500,0.8293
die,0.9000,0.9000,0.9000
fic,0.8636,0.9500,0.9048
lad,1.0000,0.9000,0.9474
mon,0.9524,0.9524,0.9524
oli,1.0000,0.9000,0.9474
pha,0.9524,1.0000,0.9756
sch,0.9412,0.8000,0.8649
spa,0.9524,1.0000,0.9756
stk,0.8333,1.0000,0.9091
zz,1.0000,0.9500,0.9744
