class,precision,recall,f1
bos,1.0000,0.9500,0.9744
cac,0.8696,1.0000,0.9302
cha,0.9000,0.9000,0.9000
die,1.0000,0.8500,0.9189
fic,0.8947,0.8500,0.8718
lad,0.9500,0.9500,0.9500
mon,1.0000,1.0000,1.0000
oli,0.9474,0.9000,0.9231
pha,1.0000,0.9500,0.9744
sch,0.8947,0.8500,0.8718
spa,0.9091,1.0000,0.9524
stk,0.8696,1.0000,0.9302
zz,0.9000,0.9000,0.9000
