class,precision,recall,f1
bos,0.9524,1.0000,0.9756
cac,0.9091,1.0000,0.9524
cha,0.8182,0.9000,0.8571
die,1.0000,0.9500,0.9744
fic,0.9048,0.9500,0.9268
lad,1.0000,0.9000,0.9474
mon,1.0000,1.0000,1.0000
oli,1.0000,0.9500,0.9744
pha,1.0000,0.9500,0.9744
sch,1.0000,0.8500,0.9189
spa,1.0000,1.0000,1.0000
stk,0.8696,1.0000,0.9302
zz,0.9474,0.9000,0.9231
