model,img_size,params_M,weight_MB,latency_ms_per_img,top1,top3,confusion_png
mobilenet_v3_large,224,4.2187,16.29,17.43,0.9502,0.9923,models\weight\mobilenet_v3_large_best.mobilenet_v3_large.cm.png
efficientnet_b0,224,4.0242,15.64,24.77,0.9502,0.9923,models\weight\efficientnet_b0_best.efficientnet_b0.cm.png
